# https://www.unicode.org/charts/PDF/U2300.pdf
⌀	0
⌁	~
⌂	^
⌃	^
⌄	v
⌅	^
⌆	^
⌇	~
#
⌈	[
⌉	]
⌊	[
⌋	]
#
⌌	+
⌍	+
⌎	+
⌏	+
#
⌐	-
⌑	*
⌒	*
⌓	*
⌔	*
⌕	*
⌖	+
⌗	#
⌘	#
⌙	-
#
⌚	*
⌛	*
#
⌜	+
⌝	+
⌞	+
⌟	+
#
⌠	(
⌡	)
#
⌢	(
⌣	)
#
⌤	^
⌥	#
⌦	>
⌧	x
⌨	#
〈	<
〉	>
#
⌫	<
#
⌬	#
#
⌭	*
⌮	*
⌯	*
⌰	*
⌱	*
⌲	>
⌳	\
⌴	*
⌵	v
#
#⌶	_
#⌷	_
#⌸	_
#⌹	_
#⌺	_
#⌻	_
#⌼	_
#⌽	_
#⌾	_
#⌿	_
#⍀	_
#⍁	_
#⍂	_
#⍃	_
#⍄	_
#⍅	_
#⍆	_
#⍇	_
#⍈	_
#⍉	_
#⍊	_
#⍋	_
#⍌	_
#⍍	_
#⍎	_
#⍏	_
#⍐	_
#⍑	_
#⍒	_
#⍓	_
#⍔	_
#⍕	_
#⍖	_
#⍗	_
#⍘	_
#⍙	_
#⍚	_
#⍛	_
#⍜	_
#⍝	_
#⍞	_
#⍟	_
#⍠	_
#⍡	_
#⍢	_
#⍣	_
#⍤	_
#⍥	_
#⍦	_
#⍧	_
#⍨	_
#⍩	_
#⍪	_
#⍫	_
#⍬	_
#⍭	_
#⍮	_
#⍯	_
#⍰	_
#⍱	_
#⍲	_
#⍳	_
#⍴	_
#⍵	_
#⍶	_
#⍷	_
#⍸	_
#⍹	_
#⍺	_
#
⍻	NAK
#
⍼	+
#
⍽	*
⍾	*
⍿	|
#
#⎀	_
#⎁	_
#⎂	_
#⎃	_
#⎄	_
#⎅	_
#⎆	_
#⎇	_
#⎈	_
#⎉	_
#⎊	_
#⎋	_
#⎌	_
#
⎍	*
⎎	*
⎏	*
⎐	*
⎑	*
⎒	*
⎓	*
⎔	*
#
#⎕	_
#
⎖	/
⎗	<
⎘	>
⎙	#
⎚	#
#
⎛	(
⎜	(
⎝	(
⎞	)
⎟	)
⎠	)
⎡	[
⎢	[
⎣	[
⎤	]
⎥	]
⎦	]
⎧	{
⎨	{
⎩	{
⎪	|
⎫	}
⎬	}
⎭	}
#
⎮	|
⎯	-
#
⎰	{
⎱	{
#
⎲	S
⎳	S
#
⎴	[
⎵	]
⎶	][
#
⎷	V
⎸	|
⎹	|
#
⎺	-
⎻	-
⎼	-
⎽	-
#
#⎾	_
#⎿	_
#⏀	_
#⏁	_
#⏂	_
#⏃	_
#⏄	_
#⏅	_
#⏆	_
#⏇	_
#⏈	_
#⏉	_
#⏊	_
#⏋	_
#⏌	_
#
#⏍	_
#
⏎	<
⏏	^
#
⏐	|
#
#⏑	_
#⏒	_
#⏓	_
#⏔	_
#⏕	_
#⏖	_
#⏗	_
#⏘	_
#⏙	_
#
⏚	+
⏛	+
#
⏜	(
⏝	)
⏞	{
⏟	}
⏠	[
⏡	]
#
⏢	#
#
⏣	#
#
⏤	-
⏥	#
⏦	*
⏧	*
⏨	10
#
⏩	>>
⏪	<<
⏫	^
⏬	v
⏭	>>|
⏮	|<<
⏯	>||
⏰	*
⏱	*
⏲	*
⏳	*
⏴	<
⏵	>
⏶	^
⏷	v
⏸	||
⏹	#
⏺	*
#
⏻	*
⏼	*
⏽	*
#
⏾	*
#
⏿	<
